# Format: TYPE|PROMPT|CORRECT_ANSWER|CHOICES(comma-separated)

MULTIPLE_CHOICE|What is the capital of France?|A|Paris,London,Berlin,Madrid
TRUE_FALSE|The Earth is flat.|F|
MULTIPLE_CHOICE|Which language is this project in?|C|Python,C++,Java,Ruby
TRUE_FALSE|Java is an Object-Oriented language.|T|

MULTIPLE_CHOICE|Which keyword is used to create an object in Java?|A|new,make,create,build
TRUE_FALSE|Git is a version control system.|T|
MULTIPLE_CHOICE|Which file contains the main entry point of the program?|A|Main.java,Game.java,Player.java,Question.java
TRUE_FALSE|A stack follows FIFO order.|F|
MULTIPLE_CHOICE|Which class manages the game flow?|B|Player,Game,Question,ConsoleIO
TRUE_FALSE|In Java, a class can have multiple constructors.|T|

MULTIPLE_CHOICE|Which Git command is used to download a remote repository?|C|push,commit,clone,pull
TRUE_FALSE|The 'main' branch should always be stable.|T|
MULTIPLE_CHOICE|Which data structure works as LIFO?|D|Queue,Array,List,Stack
TRUE_FALSE|In Java, '==' checks object content equality.|F|
MULTIPLE_CHOICE|Which file stores the trivia questions?|B|Game.java,questions.txt,Main.java,Player.java
